product_url,product_name,price,product_category,product_availability,product_brand,image_url,currency,shipping_cost,estimated_fee,ASIN,review,review_count,sales_rank,dimension,weight,ships_from,sold_by,seller
https://www.amazon.com/dp/B08PVVRLXD,Dreem Bundle: Fibonacci Wallet-Case for iPhone 12 Pro Max and Beam Wireless Charger - Rose & Rose,,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Flip Cases","Currently unavailable.
We don't know when or if this item will be back in stock.",Dreem,https://images-na.ssl-images-amazon.com/images/I/91WU1cKOgNL._AC_SL1500_.jpg,,,No Import Fee,,,,"#79,755",,,,,
https://www.amazon.com/dp/B07Z35R7YM,Native Union Clic Canvas Case - Crafted with Premium Woven Fabric Cover Slim and Lightwieght with Form-Fitting Protection - Compatible with iPhone 11 Pro Max (Indigo),$39.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,Native Union,https://images-na.ssl-images-amazon.com/images/I/81iaO9cwlDL._AC_SL1500_.jpg,$,$8.43,$3.09,B07Z35R7YM,"77 ratings
4.6 out of 5 stars",77 ratings,"#156,555",6.8 x 4.4 x 1 inches,3.52 ounces,Amazon,Native Union Store,A1U2KJLTA1ATV5
https://www.amazon.com/dp/B08R9XS4ST,"Moshi Overture Wallet Case + iVisor AG Matte Screen Protector Compatible with 6.1” iPhone 12 Pro/ iPhone 12 Bundle, Black",,"Cell Phones & Accessories,Accessories,Maintenance, Upkeep & Repairs,Screen Protectors","Currently unavailable.
We don't know when or if this item will be back in stock.",Moshi,https://images-na.ssl-images-amazon.com/images/I/71Qmurg87WL._AC_SL1500_.jpg,,,No Import Fee,,,,"#148,622",,,,,
https://www.amazon.com/dp/B08KS6B2JM,Bouletta Case Handmade Genuine Leather Protective Slim Light and Flexible Snap-on Back Cover Case with Card Slots Compatible with iPhone 12 Pro Max (6.7) (Tiana Grey),$44.00,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",Only 1 left in stock - order soon.,Bouletta,https://images-na.ssl-images-amazon.com/images/I/91GEoSBe60L._AC_SL1500_.jpg,$,$8.91,$3.22,B08KS6B2JM,"1 rating
5.0 out of 5 stars",1 rating,"#407,928",10.2 x 5 x 1.26 inches,6.7 ounces,Amazon,Bouletta Case,A2U3H5VJB3TI32
https://www.amazon.com/dp/B08QFHQJT4,"UUTO Wireless Charger, 3 in 1 Wireless Charging Station with QC3.0 Adapter for iWatch SE/6/5/4/3/2 & AirPods Pro/2, Foldable Wireless Charging Stand for iPhone 12/11/X/Xs/XR/8, Galaxy S20/Note 10/S10",$36.99,"Cell Phones & Accessories,Accessories,Chargers & Power Adapters,Charging Stations",In Stock.,UUTO,https://images-na.ssl-images-amazon.com/images/I/61WGS%2BTodNL._AC_SL1500_.jpg,$,$9.48,$4.44,B08QFHQJT4,"2 ratings
3.5 out of 5 stars",2 ratings,"#30,098",5.51 x 5.12 x 0.79 inches,7.6 ounces,Amazon,Speo Ark,A3KFXWW9NLIOIX
https://www.amazon.com/dp/B08PXZZ5B3,"Xperg Wireless Charger Stand for Apple Watch 5/6 Airpods Pro, 5 in 1 30W Fast Wireless Charging Station Dock Compatible with iPhone 11 12 Mini Pro Max Xr X Xs Max 8 Plus/Qi-Certified Phones",$39.99,"Cell Phones & Accessories,Accessories,Chargers & Power Adapters,Charging Stations",In Stock.,xperg,https://images-na.ssl-images-amazon.com/images/I/71i3M05CgRL._AC_SL1500_.jpg,$,$9.60,$4.80,B08PXZZ5B3,"5 ratings
5.0 out of 5 stars",5 ratings,"#24,398",7.8 x 5.5 x 1 inches,12.9 ounces,Amazon,XPERG,A2TTMHC1BA2NJ4
https://www.amazon.com/dp/B08QVD9Y38,"Genuine Leather Magnetic Case for iPhone 12 Pro Max with Magnetic Charging, Fully-Wrapped Genuine Leather Case with iPhone 12Pro Max 6.7 inch Magnetic Cover (Brown)",,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",Available from these sellers.,SXLYFD,https://images-na.ssl-images-amazon.com/images/I/61YdgTPjHkL._AC_SL1132_.jpg,,,No Import Fee,B08QVD9Y38,,,,,,,,
https://www.amazon.com/dp/B08N49TQYL,"Glowing Case for iPhone 12, iPhone 12 Pro Cases Led Logo Light iPhone Case Voice Control Call Flash Light Up Logo Illuminate Protective Cover Shockproof Tempered Glass Back Cover,C,iPhone 12 Pro Max",$38.52,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,ESACLM,https://images-na.ssl-images-amazon.com/images/I/61Gw-5AhP4L._AC_SL1500_.jpg,$,,No Import Fee,B08N49TQYL,,,"#147,241",,,Nimuil,Nimuil,A3TIHKYSWQ0NPL
https://www.amazon.com/dp/B08L94755G,"Waterproof Phone Case Professional 50ft Diving for All Samsung iPhone Series, Universal Waterproof Cell Phone Cover for Outdoor Surfing Swimming Snorkeling Photo Video (Black)",$35.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Basic Cases",In Stock.,Ezanmull,https://images-na.ssl-images-amazon.com/images/I/61vHbYrd2UL._AC_SL1000_.jpg,$,$8.87,$3.27,B08L94755G,"2 ratings
4.0 out of 5 stars",2 ratings,"#170,739",7.87 x 4.72 x 1.57 inches,7.1 ounces,Amazon,TomplusDirect,A34HLH3HO39MZ3
https://www.amazon.com/dp/B08PDSWLMH,4800mAh Portable Power Bank Pack External Battery Charger Case Protective Cover Magnetic Case for iPhone 12 Series (iPhone 12 Pro Max),$56.99,"Cell Phones & Accessories,Cases, Holsters & Sleeves,Battery Charger Cases",Only 4 left in stock - order soon.,4800mAh,https://images-na.ssl-images-amazon.com/images/I/61ewOPq45wL._AC_SL1200_.jpg,$,,No Import Fee,B08PDSWLMH,,,"#268,800",,,hellcoverx,hellcoverx,A1TN8BEN1S8PO6
